year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2011,1,ARI,CAR,6,61,10,74,Cheffers,Carl,Wash,Undrey,not_given,not_given,Symonette,Thomas,Hayes,Laird,Prukop,Todd,Buchanan,Jimmy,Payne,Kent
2011,1,BAL,PIT,7,75,6,53,Corrente,Tony,Bryan,Fred,not_given,not_given,Lewis,Darryll,Baynes,Allen,Wilson,Gregory,Cavaletto,Gary,McGrath,John
2011,1,CHI,ATL,8,56,9,65,Hochuli,Ed,Hall,Richard,not_given,not_given,Hill,Adrian,Torbert,Ronald,Carey,Don,Wrolstad,Craig,Hittner,Mark
2011,1,CLE,CIN,11,72,3,22,Leavy,Bill,Jenkins,Darrell,not_given,not_given,Perlman,Mark,Parham,Keith,Ferguson,Keith,Howey,Jim,Hayward,George
2011,1,DEN,LV,10,91,15,131,Boger,Jerome,Paganelli,Carl,not_given,not_given,Stephan,Tom,Larrew,Joe,Steratore,Tony,Rosenbaum,Doug,Bergman,Jerry
2011,1,GB,NO,6,48,3,15,Blakeman,Clete,DeFelice,Garth,not_given,not_given,Seeman,Jeff,Meyer,Greg,Miles,Terrence,Horton,Buddy,Veteri,Tony
2011,1,HOU,IND,4,30,6,60,Coleman,Walt,Ellison,Roy,not_given,not_given,Spanier,Michael,Patterson,Rick,Yette,Greg,Gautreaux,Greg,Camp,Ed
2011,1,JAX,TEN,5,39,7,60,Carey,Mike,Brown,Chad,not_given,not_given,Podraza,Tim,not_given,not_given,not_given,not_given,not_given,not_given,McKenzie,Dana
2011,1,KC,BUF,1,3,5,30,Green,Scott,Stritesky,Bruce,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,Stabile,Tom
2011,1,LAC,MIN,4,26,9,78,McAulay,Terry,King,Paul,not_given,not_given,Baynes,Rusty,Banks,Michael,Dyer,Lee,Brown,Terry,Bradley,Greg
2011,1,LAR,PHI,9,60,8,91,Steratore,Gene,Schuster,Bill,not_given,not_given,Marinucci,Ron,Weatherford,Mike,Paganelli,Dino,Waggoner,Bob,Mackie,Wayne
2011,1,MIA,NE,8,60,7,50,Morelli,Peter,Fowler,Ruben,not_given,not_given,Hussey,John,not_given,not_given,Vernatchi,Rob,not_given,not_given,Baltz,Mark
2011,1,NYJ,DAL,0,0,7,40,Riveron,Alberto,Dawson,Scott,not_given,not_given,Phares,Ron,DeBell,Jimmy,Steed,Gregory,Zimmer,Steve,Mello,Jim
2011,1,SF,SEA,9,102,11,72,Triplette,Jeff,Rice,Jeff,not_given,not_given,Bergman,Jeff,Wyant,Dave,Freeman,Steve,Anderson,Barry,McKinnely,Phil
2011,1,TB,DET,6,39,8,68,Anderson,Walt,Hannah,Butch,not_given,not_given,Boston,Byron,Coleman,James,Smith,Billy,Meslow,David,Stelljes,Steve
2011,1,WAS,NYG,3,25,8,63,Winter,Ron,Michalek,Tony,not_given,not_given,Arthur,Gary,not_given,not_given,not_given,not_given,not_given,not_given,Mapp,Julian
2011,2,ATL,PHI,7,57,4,20,Cheffers,Carl,Wash,Undrey,not_given,not_given,Symonette,Thomas,Hayes,Laird,Prukop,Todd,Buchanan,Jimmy,Payne,Kent
2011,2,BUF,LV,3,26,8,85,Carey,Mike,Brown,Chad,not_given,not_given,Podraza,Tim,not_given,not_given,not_given,not_given,not_given,not_given,McKenzie,Dana
2011,2,CAR,GB,6,50,7,57,Riveron,Alberto,Dawson,Scott,not_given,not_given,Phares,Ron,DeBell,Jimmy,Steed,Gregory,Zimmer,Steve,Mello,Jim
2011,2,DEN,CIN,7,55,7,69,Hochuli,Ed,Hall,Richard,not_given,not_given,Hill,Adrian,Torbert,Ronald,Carey,Don,Wrolstad,Craig,Hittner,Mark
2011,2,DET,KC,4,35,8,70,Corrente,Tony,Bryan,Fred,not_given,not_given,Lewis,Darryll,Baynes,Allen,Wilson,Gregory,Cavaletto,Gary,McGrath,John
2011,2,IND,CLE,4,21,3,49,Steratore,Gene,Schuster,Bill,not_given,not_given,Marinucci,Ron,Weatherford,Mike,Paganelli,Dino,Waggoner,Bob,Mackie,Wayne
2011,2,MIA,HOU,3,20,4,76,Parry,John,Ferrell,Dan,not_given,not_given,Baynes,Rusty,Washington,Keith,Paganelli,Perry,Edwards,Scott,Bowers,Derick
2011,2,MIN,TB,8,65,6,53,Triplette,Jeff,Rice,Jeff,not_given,not_given,Bergman,Jeff,Wyant,Dave,Freeman,Steve,Anderson,Barry,McKinnely,Phil
2011,2,NE,LAC,8,80,6,44,Anderson,Walt,Hannah,Butch,not_given,not_given,Boston,Byron,Coleman,James,Smith,Billy,Meslow,David,Stelljes,Steve
2011,2,NO,CHI,7,41,6,47,Coleman,Walt,Ellison,Roy,not_given,not_given,Spanier,Michael,Patterson,Rick,Yette,Greg,Gautreaux,Greg,Camp,Ed
2011,2,NYG,LAR,5,55,7,62,McAulay,Terry,King,Paul,not_given,not_given,Steinkerchner,Mark,Banks,Michael,Dyer,Lee,Brown,Terry,Bradley,Greg
2011,2,NYJ,JAX,7,60,4,50,Green,Scott,Stritesky,Bruce,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,Stabile,Tom
2011,2,PIT,SEA,4,48,6,66,Leavy,Bill,Jenkins,Darrell,not_given,not_given,Perlman,Mark,Parham,Keith,Ferguson,Keith,Quirk,Jim,Hayward,George
2011,2,SF,DAL,5,25,8,83,Winter,Ron,Michalek,Tony,not_given,not_given,Arthur,Gary,not_given,not_given,not_given,not_given,not_given,not_given,Mapp,Julian
2011,2,TEN,BAL,6,70,7,44,Blakeman,Clete,DeFelice,Garth,not_given,not_given,Seeman,Jeff,Meyer,Greg,Miles,Terrence,Horton,Buddy,Veteri,Tony
2011,2,WAS,ARI,3,15,10,97,Morelli,Peter,Fowler,Ruben,not_given,not_given,Hussey,John,not_given,not_given,Vernatchi,Rob,not_given,not_given,Baltz,Mark
2011,3,BUF,NE,9,77,8,93,Cheffers,Carl,Wash,Undrey,not_given,not_given,Symonette,Thomas,Hayes,Laird,Prukop,Todd,Buchanan,Jimmy,Payne,Kent
2011,3,CAR,JAX,8,69,8,60,Leavy,Bill,Jenkins,Darrell,not_given,not_given,Perlman,Mark,Parham,Keith,Ferguson,Keith,Quirk,Jim,Hayward,George
2011,3,CHI,GB,10,70,7,35,Carey,Mike,Brown,Chad,not_given,not_given,Podraza,Tim,not_given,not_given,not_given,not_given,not_given,not_given,McKenzie,Dana
2011,3,CIN,SF,6,40,12,70,Boger,Jerome,Paganelli,Carl,not_given,not_given,Stephan,Tom,Larrew,Joe,Steratore,Tony,Rosenbaum,Doug,Bergman,Jerry
2011,3,CLE,MIA,8,85,10,93,Anderson,Walt,Hannah,Butch,not_given,not_given,Boston,Byron,Coleman,James,Smith,Billy,Meslow,David,Stelljes,Steve
2011,3,DAL,WAS,6,55,4,35,Hochuli,Ed,Hall,Richard,not_given,not_given,Hill,Adrian,Torbert,Ronald,Carey,Don,Wrolstad,Craig,Hittner,Mark
2011,3,IND,PIT,3,21,4,38,McAulay,Terry,King,Paul,not_given,not_given,Steinkerchner,Mark,Banks,Michael,Dyer,Lee,Brown,Terry,Bradley,Greg
2011,3,LAC,KC,4,40,7,65,Coleman,Walt,Ellison,Roy,not_given,not_given,Spanier,Michael,Patterson,Rick,Yette,Greg,Gautreaux,Greg,Camp,Ed
2011,3,LAR,BAL,8,117,5,32,Green,Scott,Stritesky,Bruce,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,Stabile,Tom
2011,3,LV,NYJ,7,55,7,61,Steratore,Gene,Fowler,Ruben,not_given,not_given,Marinucci,Ron,Weatherford,Mike,Paganelli,Dino,Waggoner,Bob,Mackie,Wayne
2011,3,MIN,DET,10,79,7,65,Winter,Ron,Michalek,Tony,not_given,not_given,Arthur,Gary,not_given,not_given,not_given,not_given,not_given,not_given,Mapp,Julian
2011,3,NO,HOU,4,26,7,56,Corrente,Tony,Bryan,Fred,not_given,not_given,Lewis,Darryll,Baynes,Allen,Wilson,Gregory,Cavaletto,Gary,McGrath,John
2011,3,PHI,NYG,7,36,4,21,Triplette,Jeff,Rice,Jeff,not_given,not_given,Bergman,Jeff,Wyant,Dave,Freeman,Steve,Anderson,Barry,McKinnely,Phil
2011,3,SEA,ARI,8,39,2,20,Riveron,Alberto,Dawson,Scott,not_given,not_given,Phares,Ron,DeBell,Jimmy,Steed,Gregory,Zimmer,Steve,Mello,Jim
2011,3,TB,ATL,9,66,7,50,Blakeman,Clete,DeFelice,Garth,not_given,not_given,Seeman,Jeff,Meyer,Greg,Miles,Terrence,Horton,Buddy,Veteri,Tony
2011,3,TEN,DEN,11,80,1,15,Parry,John,Ferrell,Dan,not_given,not_given,Baynes,Rusty,Washington,Keith,Paganelli,Perry,Edwards,Scott,Bowers,Derick
2011,4,ARI,NYG,11,118,7,55,Boger,Jerome,Paganelli,Carl,not_given,not_given,Stephan,Tom,Larrew,Joe,Steratore,Tony,Rosenbaum,Doug,Bergman,Jerry
2011,4,BAL,NYJ,7,46,9,69,Carey,Mike,Brown,Chad,not_given,not_given,Podraza,Tim,not_given,not_given,not_given,not_given,not_given,not_given,McKenzie,Dana
2011,4,CHI,CAR,5,45,8,52,McAulay,Terry,King,Paul,not_given,not_given,Steinkerchner,Mark,Banks,Michael,Dyer,Lee,Buchanan,Jimmy,Bradley,Greg
2011,4,CIN,BUF,3,15,4,26,Steratore,Gene,Schuster,Bill,not_given,not_given,Marinucci,Ron,Weatherford,Mike,Paganelli,Dino,Waggoner,Bob,Mackie,Wayne
2011,4,CLE,TEN,5,40,5,45,Morelli,Peter,Fowler,Ruben,not_given,not_given,Hussey,John,not_given,not_given,Vernatchi,Rob,not_given,not_given,Baltz,Mark
