year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2016,1,ARI,NE,6,58,8,69,Corrente,Tony,Ferrell,Dan,not_given,not_given,Longson,Bart,Vernatchi,Rob,Prukop,Todd,Horton,Buddy,Turner,Patrick
2016,1,ATL,TB,7,74,6,48,Triplette,Jeff,Smith,Shawn,not_given,not_given,Thomas,Sarah,Prioleau,Dyrol,Freeman,Steve,Edwards,Scott,Bergman,Jerry
2016,1,BAL,BUF,6,35,8,89,Allen,Brad,Bryan,Fred,not_given,not_given,Symonette,Tom,Meslow,David,Hochuli,Shawn,Hill,Tom,Mello,Jim
2016,1,DAL,NYG,6,50,4,40,Torbert,Ronald,King,Paul,not_given,not_given,Steinkerchner,Mark,Gautreaux,Greg,Yette,Greg,Santi,Aaron,Howey,Jim
2016,1,DEN,CAR,4,22,8,85,Steratore,Gene,Schuster,Bill,not_given,not_given,Arthur,Gary,Waggoner,Bob,Paganelli,Dino,Weatherford,Mike,Walker,Ed
2016,1,HOU,CHI,6,69,4,30,Morelli,Peter,Neale,Bryan,not_given,not_given,Johnson,Carl,Cheek,Boris,Steed,Gregory,Rosenbaum,Doug,Stelljes,Steve
2016,1,IND,DET,5,45,8,70,Hochuli,Ed,Martin,Clay,not_given,not_given,Baynes,Rusty,Kemp,Alex,Helverson,Scott,Shaw,Dale,Bradley,Greg
2016,1,JAX,GB,9,79,5,24,Cheffers,Carl,Wash,Undrey,not_given,not_given,Stephan,Tom,Monroe,Jonah,Martinez,Rich,Patterson,Rick,Bergman,Jerry
2016,1,KC,LAC,6,46,5,30,Boger,Jerome,Hall,Richard,not_given,not_given,McKenzie,Dana,not_given,not_given,Steratore,Tony,Hall,Eugene,Camp,Ed
2016,1,NO,LV,7,53,14,141,Parry,John,Pellis,Mark,not_given,not_given,Seeman,Jeff,Washington,Keith,Paganelli,Perry,Walker,Jabir,McGrath,John
