year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2012,1,ARI,SEA,10,102,13,90,Hermansen,Bruce,Shetula,Ali,not_given,not_given,Garza,Esteban,Riley,Mike,Babcock,Larry,Sadorus,Jeff,Russell,Rodney
2012,1,BAL,CIN,6,50,3,41,Nicks,Matt,Stiers,Darin,not_given,not_given,Hudspeth,Perry,Hale,Dave,Atterberry,Chris,Cook,Arthur,Brasuell,Toney
2012,1,CHI,IND,7,48,3,19,Elliott,Wayne,Harrod,Marc,not_given,not_given,Keeling,Tommy,Easley,Lance,Rhone-Dunn,Derrick,Simmons,Richard,Peek,Mike
2012,1,CLE,PHI,3,35,12,110,Roan,Ken,Morris,Timothy,not_given,not_given,Hoffman,Eric,Strozier,Dwayne,Theodore,Bill,Burkhart,Brian,Akin,Kevin
2012,1,DEN,PIT,6,49,8,52,Wright,Gerald,Sadowski,Steve,not_given,not_given,Thomas,Alvin,Trawick,Guy,Schrein,Aaron,Trout,George,Wilmoth,Mike
2012,1,DET,LAR,3,27,7,65,Briggans,Donovan,Angel,Dennis,not_given,not_given,Eastin,Shannon,Caldera,Paul,Fischer,Michael,Joe,Eric,Lawhon,Lynn
2012,1,GB,SF,10,77,8,66,White,David,Hannon,Mike,not_given,not_given,Nowak,Greg,Wilson,Barry,Shafer,Peter,Spindel,Rusty,Schmid,Ed
2012,1,HOU,MIA,4,35,7,78,King,Donald,Otterby,Jeffrey,not_given,not_given,Townsend,Curtis,Intagliata,Kent,not_given,not_given,Norman,Keith,Andrew,Mark
2012,1,KC,ATL,2,25,2,12,Shepherd,Mike,Tabler,Randy,not_given,not_given,Shinkan,George,Peloquin,Kevin,Kelsay,Mark,Zaborniak,Henry,Falcinelli,Tom
2012,1,LV,LAC,6,35,9,78,Core,Jim,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given,not_given
2012,1,MIN,JAX,5,47,4,25,Dalton,Robert,Shorten,Oscar,not_given,not_given,Skarpa,Larry,Garvin,Jeffrey,Jackson,Bobby,not_given,not_given,Bernier,Wayne
2012,1,NO,WAS,12,107,12,127,Scott,David,Shavensky,Rick,not_given,not_given,Taylor,Rondell,Griffin,Timothy,Burd,Craig,Powell,Bob,Castrovinci,Ronald
