year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2013,1,BUF,NE,10,75,4,36,Anderson,Walt,Rice,Jeff,not_given,not_given,Boston,Byron,Banks,Michael,Smith,Billy,Horton,Buddy,Stelljes,Steve
2013,1,CAR,SEA,4,46,9,99,Triplette,Jeff,Hannah,Butch,not_given,not_given,Bergman,Jeff,Wyant,Dave,Freeman,Steve,Anderson,Barry,McKinnely,Phil
2013,1,CHI,CIN,4,59,8,84,Cheffers,Carl,Wash,Undrey,not_given,not_given,Symonette,Thomas,Hayes,Laird,Prukop,Todd,Lamberth,Jeff,Payne,Kent
2013,1,CLE,MIA,9,57,10,77,Carey,Mike,Brown,Chad,not_given,not_given,Podraza,Tim,Rosenbaum,Doug,Dyer,Lee,Weir,Mike,Baltz,Mark
2013,1,DAL,NYG,5,40,6,52,Corrente,Tony,Bryan,Fred,not_given,not_given,Lewis,Darryll,Torbert,Ronald,Wilson,Gregory,Cavaletto,Gary,Hayward,George
2013,1,DEN,BAL,8,61,7,53,Coleman,Walt,Ellison,Roy,not_given,not_given,Baynes,Rusty,Patterson,Rick,Yette,Greg,Gautreaux,Greg,Bergman,Jerry
2013,1,DET,MIN,11,88,5,52,Parry,John,Ferrell,Dan,not_given,not_given,Hill,Adrian,Larrew,Joe,Paganelli,Perry,Edwards,Scott,Bowers,Derick
2013,1,IND,LV,3,31,8,51,Vinovich,Bill,King,Paul,not_given,not_given,Mapp,Julian,DeBell,Jimmy,Quirk,Jim,Zimmer,Steve,Mello,Jim
2013,1,JAX,KC,5,30,3,20,Morelli,Peter,Jenkins,Darrell,not_given,not_given,Johnson,Carl,Vernatchi,Rob,Shaw,Dale,Lucivansky,Jon,McKenzie,Dana
2013,1,LAC,HOU,7,55,7,73,Green,Scott,Stritesky,Bruce,not_given,not_given,Spanier,Michael,Rose,Larry,Helverson,Scott,Cheek,Boris,Stabile,Tom
2013,1,LAR,ARI,7,59,6,68,Blakeman,Clete,DeFelice,Garth,not_given,not_given,Marinucci,Ron,Meyer,Greg,Miles,Terrence,Meslow,David,Veteri,Tony
2013,1,NO,ATL,6,57,2,19,Steratore,Gene,Schuster,Bill,not_given,not_given,Steinkerchner,Mark,Weatherford,Mike,Paganelli,Dino,Waggoner,Bob,Mackie,Wayne
2013,1,NYJ,TB,6,45,13,102,Hochuli,Ed,Hall,Richard,not_given,not_given,Hussey,John,Washington,Keith,Carey,Don,Wrolstad,Craig,Hittner,Mark
2013,1,PIT,TEN,4,47,6,60,Boger,Jerome,Michalek,Tony,not_given,not_given,Stephan,Tom,Baynes,Allen,Steratore,Tony,Prioleau,Dyrol,Camp,Ed
2013,1,SF,GB,11,85,5,44,Leavy,Bill,Fowler,Ruben,not_given,not_given,Perlman,Mark,Parham,Keith,Ferguson,Keith,Buchanan,Jimmy,McGrath,John
2013,1,WAS,PHI,10,75,8,65,Winter,Ron,Paganelli,Carl,not_given,not_given,Arthur,Gary,Hill,Tom,Steed,Gregory,Steenson,Scott,Howey,Jim
