year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2020,1,ATL,SEA,6,72,6,46,Hochuli,Shawn,George,Ramon,Thomas,Sarah,Johnson,Carl,Hill,Chad,Martinez,Rich,Hill,Tom,not_given,not_given
2020,1,BAL,CLE,7,66,8,80,Torbert,Ronald,Pellis,Mark,Holt,Patrick,Mello,Jim,Monroe,Jonah,Yette,Greg,Coleman,James,not_given,not_given
2020,1,BUF,NYJ,7,79,9,95,Smith,Shawn,Neale,Bryan,Dolce,Michael,Steinkerchner,Mark,Buchanan,Jimmy,Paganelli,Dino,Prioleau,Dyrol,not_given,not_given
2020,1,CAR,LV,5,65,3,40,Allen,Brad,Stritesky,Bruce,Short,Danny,Stewart,Mark,Cheek,Boris,Russell,Jimmy,Patterson,Rick,not_given,not_given
2020,1,CIN,LAC,7,44,6,35,Martin,Clay,Killens,Jr.,Bowers,Derick,LeBlanc,Frank,Lamberth,Jeff,Patrick,Steve,Weatherford,Mike,not_given,not_given
2020,1,DEN,TEN,5,56,5,37,Novak,Scott,Woods,Steven,Payne,Kent,Oliver,David,Edwards,Scott,Miles,Terrence,Jenkins,John,not_given,not_given
2020,1,DET,CHI,8,77,6,48,Allen,Brad,Paganelli,Carl,McKenzie,Dana,Bradley,Greg,Walker,Jabir,Edwards,Matthew,Brown,Terry,not_given,not_given
2020,1,JAX,IND,6,61,5,80,Hussey,John,Ellison,Roy,Bolinger,Brian,Symonette,Tom,Baynes,Allen,Bell,Grantis,Zimmer,Steve,not_given,not_given
2020,1,KC,HOU,1,5,5,37,Blakeman,Clete,Bryan,Fred,Hittner,Mark,Stephan,Tom,Banks,Michael,Helverson,Scott,Blubaugh,Joe,not_given,not_given
2020,1,LAR,DAL,5,34,7,50,Corrente,Tony,Ferrell,Dan,Perlman,Mark,Longson,Bart,Flemming,Anthony,Prukop,Todd,Dickson,Ryan,not_given,not_given
2020,1,MIN,GB,5,20,6,63,Vinovich,Bill,Michalek,Tony,Carr,Mike,Seeman,Jeff,Willard,Don,Paganelli,Perry,Meslow,David,not_given,not_given
2020,1,NE,MIA,3,47,4,35,Hill,Adrian,King,Paul,Camp,Ed,Codey,Kevin,Washington,Keith,Steed,Gregory,Quirk,Jim,not_given,not_given
2020,1,NO,TB,6,119,9,103,Boger,Jerome,Anderson,Barry,Mapp,Julian,Baynes,Rusty,Jeffries,Anthony,Freeman,Brad,Shaw,Dale,not_given,not_given
2020,1,NYG,PIT,4,25,3,21,Wrolstad,Craig,Fowler,Ruben,Bergman,Jerry,Eaton,Thomas,Hawkshaw,Dave,Ferguson,Keith,Santi,Aaron,not_given,not_given
2020,1,SF,ARI,5,53,9,102,Cheffers,Carl,Hall,Richard,Turner,Patrick,Podraza,Tim,Reynard,Clay,Wilson,Gregory,Cavaletto,Gary,not_given,not_given
2020,1,WAS,PHI,7,55,3,20,Rogers,Bradley,Slaughter,Tab,Phillips,Jerod,Coleman,Walt,Hall,Eugene,Meyer,Greg,Jones,Nathan,not_given,not_given
2020,2,ARI,WAS,11,97,6,42,Clark,Land,Eck,Alan,Payne,Kent,Stewart,Mark,Blake,Tra,Miles,Terrence,Edwards,Scott,not_given,not_given
2020,2,CHI,NYG,5,48,3,10,Vinovich,Bill,Killens,Jr.,Sutter,Tripp,Seeman,Jeff,Willard,Don,Paganelli,Perry,Meslow,David,not_given,not_given
2020,2,CLE,CIN,8,76,4,45,Smith,Shawn,Neale,Bryan,Dolce,Michael,Steinkerchner,Mark,Buchanan,Jimmy,Paganelli,Dino,Prioleau,Dyrol,not_given,not_given
2020,2,DAL,ATL,7,75,8,51,Rogers,Bradley,Ellison,Roy,Phillips,Jerod,Coleman,Walt,Hall,Eugene,Meyer,Greg,Jones,Nathan,not_given,not_given
2020,2,GB,DET,8,60,7,70,Blakeman,Clete,Bryan,Fred,Hittner,Mark,Stephan,Tom,Banks,Michael,Helverson,Scott,Blubaugh,Joe,not_given,not_given
2020,2,HOU,BAL,4,22,3,21,Corrente,Tony,Slaughter,Tab,Bergman,Jerry,Oliver,David,Flemming,Anthony,Prukop,Todd,Robinson,Mearl,not_given,not_given
2020,2,IND,MIN,9,93,6,45,Kemp,Alex,Paganelli,Carl,McKenzie,Dana,Bradley,Greg,Walker,Jabir,Edwards,Matthew,Brown,Terry,not_given,not_given
2020,2,LAC,KC,6,40,11,90,Cheffers,Carl,Hall,Richard,Turner,Patrick,Podraza,Tim,Reynard,Clay,Wilson,Gregory,Cavaletto,Gary,not_given,not_given
2020,2,LV,NO,3,13,10,129,Hochuli,Shawn,George,Ramon,Thomas,Sarah,Johnson,Carl,Hill,Chad,Martinez,Rich,Dickson,Ryan,not_given,not_given
2020,2,MIA,BUF,3,20,6,55,Boger,Jerome,Anderson,Barry,Mapp,Julian,Baynes,Rusty,Jeffries,Anthony,Freeman,Brad,Shaw,Dale,not_given,not_given
2020,2,NYJ,SF,5,65,5,59,Torbert,Ronald,Pellis,Mark,Holt,Patrick,Mello,Jim,Monroe,Jonah,Yette,Greg,Pender,Dominique,not_given,not_given
2020,2,PHI,LAR,5,30,4,24,Allen,Brad,Stritesky,Bruce,Short,Danny,Gallagher,Daniel,Cheek,Boris,Russell,Jimmy,Patterson,Rick,not_given,not_given
2020,2,PIT,DEN,10,89,4,30,Hill,Adrian,King,Paul,Camp,Ed,Codey,Kevin,Washington,Keith,Steed,Gregory,Quirk,Jim,not_given,not_given
2020,2,SEA,NE,9,68,2,12,Wrolstad,Craig,Fowler,Ruben,Perlman,Mark,Longson,Bart,Hawkshaw,Dave,Ferguson,Keith,Santi,Aaron,not_given,not_given
2020,2,TB,CAR,5,37,9,77,Hussey,John,Ferrell,Dan,Bolinger,Brian,Symonette,Tom,Baynes,Allen,Josselyn,Tony,Zimmer,Steve,not_given,not_given
2020,2,TEN,JAX,4,30,8,60,Martin,Clay,Michalek,Tony,Bowers,Derick,LeBlanc,Frank,Lamberth,Jeff,Patrick,Steve,Weatherford,Mike,not_given,not_given
2020,3,ARI,DET,7,48,7,46,Novak,Scott,Woods,Steven,Payne,Kent,Oliver,David,Edwards,Scott,Ferguson,Keith,Jenkins,John,not_given,not_given
2020,3,ATL,CHI,7,75,10,80,Boger,Jerome,Anderson,Barry,Mapp,Julian,Baynes,Rusty,Jeffries,Anthony,Freeman,Brad,Blake,Tra,not_given,not_given
2020,3,BAL,KC,6,45,6,38,Hussey,John,Ellison,Roy,Bolinger,Brian,Steinkerchner,Mark,Baynes,Allen,Steed,Gregory,Zimmer,Steve,not_given,not_given
2020,3,BUF,LAR,5,55,3,30,Kemp,Alex,Paganelli,Carl,McKenzie,Dana,Bradley,Greg,Pender,Dominique,Edwards,Matthew,Brown,Terry,not_given,not_given
2020,3,CLE,WAS,6,50,4,40,Hochuli,Shawn,George,Ramon,Thomas,Sarah,Johnson,Carl,Hill,Chad,Martinez,Rich,Hill,Tom,not_given,not_given
2020,3,DEN,TB,4,30,9,71,Clark,Land,Eck,Alan,Sutter,Tripp,Stewart,Mark,Santi,Aaron,Miles,Terrence,Robinson,Mearl,not_given,not_given
2020,3,IND,NYJ,4,40,7,57,Wrolstad,Craig,Killens,Jr.,Carr,Mike,Seeman,Jeff,Willard,Don,Bell,Grantis,Meslow,David,not_given,not_given
2020,3,JAX,MIA,8,63,6,51,Allen,Brad,Stritesky,Bruce,Short,Danny,Gallagher,Daniel,Cheek,Boris,Russell,Jimmy,Patterson,Rick,not_given,not_given
2020,3,LAC,CAR,8,60,3,30,Corrente,Tony,Ferrell,Dan,Perlman,Mark,Longson,Bart,Flemming,Anthony,Prukop,Todd,Dickson,Ryan,not_given,not_given
2020,3,MIN,TEN,3,20,4,45,Blakeman,Clete,Bryan,Fred,Hittner,Mark,Stephan,Tom,Banks,Michael,Helverson,Scott,Blubaugh,Joe,not_given,not_given
2020,3,NE,LV,2,33,6,40,Torbert,Ronald,Pellis,Mark,Holt,Patrick,Mello,Jim,Monroe,Jonah,Yette,Greg,Coleman,James,not_given,not_given
2020,3,NO,GB,8,83,2,10,Rogers,Bradley,Slaughter,Tab,Phillips,Jerod,Coleman,Walt,Hall,Eugene,Meyer,Greg,Jones,Nathan,not_given,not_given
2020,3,NYG,SF,5,28,6,45,Martin,Clay,Michalek,Tony,Bowers,Derick,LeBlanc,Frank,Lamberth,Jeff,Patrick,Steve,Weatherford,Mike,not_given,not_given
2020,3,PHI,CIN,11,93,9,73,Hill,Adrian,King,Paul,Camp,Ed,Eaton,Tom,Washington,Keith,Josselyn,Tony,Quirk,Jim,not_given,not_given
2020,3,PIT,HOU,2,14,4,49,Smith,Shawn,Neale,Bryan,Dolce,Michael,Symonette,Tom,Buchanan,Jimmy,Paganelli,Dino,Prioleau,Dyrol,not_given,not_given
2020,3,SEA,DAL,5,30,10,59,Cheffers,Carl,Hall,Richard,Turner,Patrick,Podraza,Tim,Reynard,Clay,Wilson,Gregory,Cavaletto,Gary,not_given,not_given
