year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2019,1,ARI,DET,7,35,9,59,Novak,Scott,George,Ramon,Bowers,Derick,Coleman,Walt,Hill,Chad,Miles,Terrence,Weatherford,Mike,not_given,not_given
2019,1,CAR,LAR,6,46,5,43,Hochuli,Shawn,King,Paul,Camp,Ed,Bradley,Greg,Coleman,James,Martinez,Rich,Hill,Tom,not_given,not_given
2019,1,CHI,GB,10,107,10,71,Corrente,Tony,Schuster,Bill,McKenzie,Dana,Podraza,Tim,Cheek,Boris,Prukop,Todd,Jeffries,Anthony,not_given,not_given
2019,1,CLE,TEN,18,182,6,54,Allen,Brad,Anderson,Barry,Mello,Jim,Bolinger,Brian,Russell,Jimmy,Yette,Greg,Zimmer,Steve,not_given,not_given
2019,1,DAL,NYG,6,47,8,70,Anderson,Walt,Fowler,Ruben,Stephan,Tom,Boston,Byron,Patterson,Rick,Ferguson,Keith,Dyer,Lee,not_given,not_given
2019,1,JAX,KC,10,71,5,55,Cheffers,Carl,Pellis,Mark,Short,Danny,Seeman,Jeff,Hall,Eugene,Edwards,Matthew,Banks,Michael,not_given,not_given
2019,1,LAC,IND,3,20,3,10,Smith,Shawn,Neale,Bryan,Hittner,Mark,Longson,Bart,Hawkshaw,Dave,Paganelli,Dino,Prioleau,Dyrol,not_given,not_given
2019,1,LV,DEN,9,62,6,44,Wrolstad,Craig,Woods,Steven,Turner,Patrick,Sutter,Tripp,Lamberth,Jeff,Helverson,Scott,Brown,Terry,not_given,not_given
2019,1,MIA,BAL,9,64,4,40,Boger,Jerome,Paganelli,Carl,Holt,Patrick,Baynes,Rusty,Monroe,Jonah,Steratore,Tony,Meslow,David,not_given,not_given
2019,1,MIN,ATL,11,100,9,78,Vinovich,Bill,Stritesky,Bruce,McKinnely,Phil,Perlman,Mark,Cavaletto,Gary,Patrick,Steve,Robinson,Mearl,not_given,not_given
2019,1,NE,PIT,7,55,6,54,Blakeman,Clete,Rice,Jeff,Bergman,Jerry,Symonette,Thomas,Buchanan,Jimmy,Paganelli,Perry,Larrew,Joe,not_given,not_given
2019,1,NO,HOU,7,48,8,69,Hussey,John,Eck,Alan,Codey,Kevin,Johnson,Carl,Walker,Jabir,Freeman,Brad,Baynes,Allen,not_given,not_given
2019,1,NYJ,BUF,8,67,7,55,Martin,Clay,Bryan,Fred,Phillips,Jerod,Arthur,Gary,Gautreaux,Greg,Wilson,Gregory,Jones,Nathan,not_given,not_given
2019,1,PHI,WAS,6,55,12,96,Torbert,Ronald,Killens,Jr.,Thomas,Sarah,Steinkerchner,Mark,Edwards,Scott,Josselyn,Anthony,Dickson,Ryan,not_given,not_given
