year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2018,1,ARI,WAS,9,67,9,63,Coleman,Walt,Rice,Jeff,Bergman,Jerry,Stewart,Mark,Walker,Jabir,Yette,Greg,Gautreaux,Greg,not_given,not_given
2018,1,BAL,BUF,9,78,10,100,Hochuli,Shawn,Ellison,Roy,Camp,Ed,Bradley,Greg,Hill,Chad,Martinez,Rich,Hill,Tom,not_given,not_given
2018,1,CAR,DAL,9,80,10,85,Anderson,Walt,Paganelli,Carl,Stephan,Tom,Boston,Byron,Patterson,Rick,Dyer,Lee,Brown,Terry,not_given,not_given
2018,1,CLE,PIT,11,87,12,116,Smith,Shawn,Neale,Bryan,Hittner,Mark,Longson,Bart,Coleman,James,Paganelli,Dino,Rogers,Bradley,not_given,not_given
2018,1,DEN,SEA,7,60,7,45,Allen,Brad,Fowler,Ruben,Mello,Jim,Bolinger,Brian,Novak,Scott,Miles,Terrence,Zimmer,Steve,not_given,not_given
2018,1,DET,NYJ,3,15,7,49,Vinovich,Bill,Stritesky,Bruce,Spanier,Michael,Perlman,Mark,Cavaletto,Gary,Patrick,Steve,Robinson,Mearl,not_given,not_given
2018,1,GB,CHI,8,72,5,35,Cheffers,Carl,Anderson,Barry,Cruz,Hugo,Arthur,Gary,Hall,Eugene,Meyer,Greg,Clark,Land,not_given,not_given
2018,1,IND,CIN,7,91,8,94,Morelli,Peter,Woods,Steven,Stelljes,Steve,Seeman,Jeff,Cheek,Boris,Ferguson,Keith,Jeffries,Anthony,not_given,not_given
2018,1,LAC,KC,7,45,6,50,Blakeman,Clete,George,Ramon,McKenzie,Dana,Coleman,Walt,Prioleau,Dyrol,Quirk,Jim,Larrew,Joe,not_given,not_given
2018,1,LV,LAR,11,155,8,70,Torbert,Ronald,Ferrell,Dan,Thomas,Sarah,Steinkerchner,Mark,Edwards,Scott,Josselyn,Anthony,Buchanan,Jimmy,not_given,not_given
2018,1,MIA,TEN,7,51,5,48,Boger,Jerome,Schuster,Bill,Carr,Mike,Baynes,Rusty,Monroe,Jonah,Steratore,Tony,Shaw,Dale,not_given,not_given
2018,1,MIN,SF,7,52,3,21,Martin,Clay,Bryan,Fred,Short,Danny,Payne,Kent,Freeman,Brad,Wilson,Gregory,Meslow,David,not_given,not_given
2018,1,NE,HOU,6,36,6,44,Corrente,Tony,Eck,Alan,Turner,Patrick,Podraza,Tim,Dickson,Ryan,Prukop,Todd,Washington,Keith,not_given,not_given
2018,1,NO,TB,8,77,7,70,Parry,John,Pellis,Mark,Oliver,David,Mapp,Julian,Banks,Michael,Paganelli,Perry,Edwards,Matthew,not_given,not_given
2018,1,NYG,JAX,6,43,11,119,Wrolstad,Craig,King,Paul,Phillips,Jerod,Johnson,Carl,Hill,Adrian,Helverson,Scott,Lamberth,Jeff,not_given,not_given
2018,1,PHI,ATL,11,101,15,135,Hussey,John,Michalek,Tony,Codey,Kevin,Bowers,Derick,Baynes,Allen,Steed,Gregory,Willard,Don,not_given,not_given
2018,2,ATL,CAR,2,26,7,49,Vinovich,Bill,Stritesky,Bruce,Spanier,Michael,Perlman,Mark,Cavaletto,Gary,Patrick,Steve,Robinson,Mearl,not_given,not_given
2018,2,BUF,LAC,6,31,6,45,Martin,Clay,Bryan,Fred,Short,Danny,Payne,Kent,Freeman,Brad,Wilson,Gregory,Meslow,David,not_given,not_given
2018,2,CHI,SEA,7,55,5,37,Coleman,Walt,Rice,Jeff,Bergman,Jerry,Stewart,Mark,Walker,Jabir,Yette,Greg,Gautreaux,Greg,not_given,not_given
2018,2,CIN,BAL,9,92,7,51,Anderson,Walt,Paganelli,Carl,Stephan,Tom,Boston,Byron,Patterson,Rick,Dyer,Lee,Brown,Terry,not_given,not_given
2018,2,DAL,NYG,6,47,3,24,Parry,John,Pellis,Mark,Oliver,David,Mapp,Julian,Banks,Michael,Paganelli,Perry,Edwards,Matthew,not_given,not_given
2018,2,DEN,LV,6,35,4,30,Hussey,John,Michalek,Tony,Cruz,Hugo,Bowers,Derick,Baynes,Allen,Steed,Gregory,Willard,Don,not_given,not_given
2018,2,GB,MIN,7,54,8,70,Corrente,Tony,Eck,Alan,Turner,Patrick,Podraza,Tim,Novak,Scott,Prukop,Todd,Washington,Keith,not_given,not_given
2018,2,JAX,NE,7,71,2,25,Cheffers,Carl,Anderson,Barry,Codey,Kevin,Arthur,Gary,Hall,Eugene,Meyer,Greg,Clark,Land,not_given,not_given
2018,2,LAR,ARI,5,49,9,47,Wrolstad,Craig,King,Paul,Phillips,Jerod,Johnson,Carl,Hill,Adrian,Helverson,Scott,Lamberth,Jeff,not_given,not_given
2018,2,NO,CLE,4,53,4,43,Torbert,Ronald,Ferrell,Dan,Thomas,Sarah,Steinkerchner,Mark,Edwards,Scott,Josselyn,Anthony,Buchanan,Jimmy,not_given,not_given
2018,2,NYJ,MIA,7,50,2,10,Allen,Brad,Fowler,Ruben,Mello,Jim,Bolinger,Brian,Weatherford,Mike,Miles,Terrence,Zimmer,Steve,not_given,not_given
2018,2,PIT,KC,12,90,12,76,Boger,Jerome,Schuster,Bill,Carr,Mike,Baynes,Rusty,Monroe,Jonah,Steratore,Tony,Shaw,Dale,not_given,not_given
2018,2,SF,DET,9,86,10,105,Hochuli,Shawn,Ellison,Roy,Camp,Ed,Bradley,Greg,Hill,Tom,Martinez,Rich,Hill,Chad,not_given,not_given
2018,2,TB,PHI,4,44,6,55,Kemp,Alex,Hall,Richard,Symonette,Tom,Bergman,Jeff,Santi,Aaron,Freeman,Steve,Jenkins,John,not_given,not_given
2018,2,TEN,HOU,8,70,11,88,Morelli,Peter,Woods,Steven,Stelljes,Steve,Seeman,Jeff,Cheek,Boris,Ferguson,Keith,Jeffries,Anthony,not_given,not_given
2018,2,WAS,IND,7,90,6,26,Blakeman,Clete,George,Ramon,McKenzie,Dana,Coleman,Walt,Prioleau,Dyrol,Quirk,Jim,Larrew,Joe,not_given,not_given
