year,week_num,home_abbr,vis_abbr,home_penalty_count,home_penalty_yards,visitor_penalty_count,visitor_penalty_yards,ref_lname,ref_fname,umpire_lname,umpire_fname,down_judge_lname,down_judge_fname,line_judge_lname,line_judge_fname,side_judge_lname,side_judge_fname,back_judge_lname,back_judge_fname,field_judge_lname,field_judge_fname,head_linesman_lname,head_linesman_fname
2015,1,ARI,NO,5,30,7,73,Anderson,Walt,Hannah,Butch,not_given,not_given,Boston,Byron,Hayes,Laird,Prukop,Todd,Hall,Eugene,Stelljes,Steve
2015,1,ATL,PHI,7,57,10,88,McAulay,Terry,Neal,Larry,not_given,not_given,Stephan,Tom,Monroe,Jonah,Steed,Gregory,Banks,Michael,Bowers,Derick
2015,1,BUF,IND,11,113,5,49,Parry,John,Pellis,Mark,not_given,not_given,Perlman,Mark,Gautreaux,Greg,Paganelli,Perry,Walker,Jabir,Bradley,Greg
2015,1,CHI,GB,6,64,10,74,Wrolstad,Craig,Ellison,Roy,not_given,not_given,Mapp,Julian,Lamberth,Jeff,Dyer,Lee,Zimmer,Steve,Hittner,Mark
2015,1,DAL,NYG,3,35,5,44,Vinovich,Bill,King,Paul,not_given,not_given,Spanier,Michael,Cavaletto,Gary,Quirk,Jim,Jenkins,John,McKinnely,Phil
2015,1,DEN,BAL,8,45,3,15,Steratore,Gene,Anderson,Barry,not_given,not_given,Arthur,Gary,Waggoner,Bob,Paganelli,Dino,Weatherford,Mike,Walker,Ed
2015,1,HOU,KC,6,39,2,25,Morelli,Peter,Fowler,Ruben,not_given,not_given,Thomas,Sarah,Vernatchi,Rob,Shaw,Dale,Patterson,Rick,Camp,Ed
2015,1,JAX,CAR,3,25,3,22,Torbert,Ronald,Paganelli,Carl,not_given,not_given,Steinkerchner,Mark,Edwards,Scott,Yette,Greg,Santi,Aaron,Howey,Jim
2015,1,LAC,DET,5,40,4,29,Blakeman,Clete,Rice,Jeff,not_given,not_given,Johnson,Carl,Larrew,Joe,Patrick,Steve,Brown,Terry,Cruz,Hugo
2015,1,LAR,SEA,4,30,7,46,Triplette,Jeff,Smith,Shawn,not_given,not_given,Bergman,Jeff,Kemp,Alex,Freeman,Steve,Prioleau,Dyrol,Veteri,Tony
2015,1,LV,CIN,5,32,6,50,Allen,Brad,Bryan,Fred,not_given,not_given,Symonette,Tom,Hill,Tom,Hochuli,Shawn,Rosenbaum,Doug,Mello,Jim
2015,1,NE,PIT,7,64,8,77,Cheffers,Carl,Wash,Undrey,not_given,not_given,Podraza,Tim,Novak,Scott,Miles,Terrence,Freeman,Brad,Payne,Kent
2015,1,NYJ,CLE,4,30,12,109,Boger,Jerome,Hall,Richard,not_given,not_given,Seeman,Jeff,Coleman,Walt,Steratore,Tony,Meslow,David,McGrath,John
2015,1,SF,MIN,8,57,5,25,Hochuli,Ed,Martin,Clay,not_given,not_given,Baynes,Rusty,Meyer,Greg,Helverson,Scott,Hill,Adrian,Turner,Patrick
2015,1,TB,TEN,12,97,8,55,Hussey,John,Michalek,Tony,not_given,not_given,Marinucci,Ron,Baynes,Allen,Ferguson,Keith,Buchanan,Jimmy,Mackie,Wayne
2015,1,WAS,MIA,11,88,6,39,Coleman,Walt,Schuster,Bill,not_given,not_given,Codey,Kevin,Lucivansky,Jon,Martinez,Rich,Cheek,Boris,Bergman,Jerry
2015,2,BUF,NE,14,140,11,119,Torbert,Ronald,Paganelli,Carl,not_given,not_given,Steinkerchner,Mark,Edwards,Matthew,Yette,Greg,Santi,Aaron,Howey,Jim
2015,2,CAR,HOU,10,92,10,70,Blakeman,Clete,Rice,Jeff,not_given,not_given,Johnson,Carl,Larrew,Joe,Patrick,Steve,Brown,Terry,Cruz,Hugo
